page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     215    76  cmyk    4   8  jpeg   no        78  0   300   303 11.0K  17%
   5     1 image    1880   814  cmyk    4   8  jpeg   no       146  0   318   318  144K 2.4%
   7     2 image    1829   880  cmyk    4   8  image  no       150  0   291   246  686K  11%
   9     3 image    1920  1116  cmyk    4   8  jpeg   no       154  0   276   302  219K 2.6%
  11     4 image    1825   871  cmyk    4   8  jpeg   no       158  0   248   218  145K 2.3%
  12     5 image    1645   883  cmyk    4   8  jpeg   no       161  0   232   208  234K 4.1%
  14     6 image    1920  1411  cmyk    4   8  jpeg   no       165  0   359   359  192K 1.8%
  16     7 image    1684   994  cmyk    4   8  jpeg   no       169  0   284   273  255K 3.9%
