page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     215    76  cmyk    4   8  jpeg   no        79  0   300   303 11.0K  17%
   5     1 image    1869   793  cmyk    4   8  jpeg   no       156  0   315   315  148K 2.5%
   7     2 image    1920   880  cmyk    4   8  image  no       160  0   311   249  695K  11%
   9     3 image    1920  1116  cmyk    4   8  jpeg   no       164  0   301   330  219K 2.6%
  11     4 image    1825   873  cmyk    4   8  jpeg   no       168  0   248   226  144K 2.3%
  12     5 image    1645   881  cmyk    4   8  jpeg   no       171  0   232   219  234K 4.1%
  14     6 image    1927  1307  cmyk    4   8  jpeg   no       175  0   326   326  186K 1.9%
  16     7 image    1684   994  cmyk    4   8  jpeg   no       179  0   284   273  255K 3.9%
