page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     215    76  cmyk    4   8  jpeg   no         5  0   300   303 11.0K  17%
   3     1 image    1222   768  cmyk    4   8  jpeg   no        82  0   206   204  192K 5.2%
   5     2 image    1686  1125  cmyk    4   8  jpeg   no       102  0   284   284 1506K  20%
   8     3 image    1094   517  cmyk    4   8  jpeg   no       117  0   168   166 84.9K 3.8%
  10     4 image     977   499  cmyk    4   8  jpeg   no       123  0   164   163  246K  13%
  11     5 image    1769  1202  cmyk    4   8  jpeg   no       127  0   300   300 1161K  14%
  12     6 image    1920   898  cmyk    4   8  jpeg   no       131  0   326   321  491K 7.3%
  13     7 image    1920  1070  cmyk    4   8  jpeg   no       135  0   326   339 1784K  22%
