page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     215    76  cmyk    4   8  jpeg   no      2201  0   300   303 11.0K  17%
   4     1 image    1142   685  cmyk    4   8  jpeg   no        19  0   192   188  445K  15%
   6     2 image    1794  1356  cmyk    4   8  jpeg   no        25  0   346   394  737K 7.8%
   8     3 image    1168   722  cmyk    4   8  jpeg   no        31  0   197   198  296K 9.0%
  10     4 image     762   415  index   1   8  image  no        37  0   128   118  228K  74%
  14     5 image    1038   987  cmyk    4   8  jpeg   no        46  0   238   240  686K  17%
  16     6 image    1024   762  cmyk    4   8  jpeg   no        51  0   173   196  445K  15%
  18     7 image    1138   720  cmyk    4   8  jpeg   no        57  0   182   167  199K 6.2%
